source	source.label	target	target.label	edge
	Cheirispa dorsata Baly	Q1602492	Heliconia imbricata	inhabit (debris patches on) leaves of
	Rolled-leaf beetles Cephaloleia consanguinea Baly	Q1602492	Heliconia imbricata	inhabit (debris patches on) leaves of
	Rolled-leaf beetles Cephaloleia consanguinea Baly	Q10253316	Parasite	interactions with Heliconia imbricata are an example of
	Cephaloleia puncticollis Baly (Coleoptera: Chrysomelidae; Hispinae)	Q1602492	Heliconia imbricata	live in the bracts of
	Cephaloleia puncticollis Baly (Coleoptera: Chrysomelidae; Hispinae)	Q10253316	Parasite	interactions with Heliconia imbricata are an example of
	Gillisius sp. #1 (Coleoptera)	Q1602492	Heliconia imbricata	live in the bracts and feeds on floral parts of
	Gillisius sp. #1 (Coleoptera)	Q10253316	Parasite	interactions with Heliconia imbricata are an example of
Q2749609	Chelobasis perplexa	Q1602492	Heliconia imbricata	live in and feed on the immature leaves of plants of
Q2749609	Chelobasis perplexa	Q10253316	Parasite	interactions with Heliconia imbricata are an example of
	Rolled-leaf beetles (Cephaloleia consanguinea Baly)	Q1602492	Heliconia imbricata	lay eggs and larvae feed on
	Rolled-leaf beetles (Cephaloleia consanguinea Baly)	Q10253316	Parasite	interactions with Heliconia imbricata are an example of
Q644670	Threnetes ruckeri	Q1602492	Heliconia imbricata	feed on and pollinate
Q644670	Threnetes ruckeri		Mutualist	interactions with Heliconia imbricata are an example of
	Chalybura urochyrsia	Q1602492	Heliconia imbricata	feed on and pollinate
	Chalybura urochyrsia		Mutualist	interactions with Heliconia imbricata are an example of
	Thalurania furcate	Q1602492	Heliconia imbricata	feed on and pollinate
	Thalurania furcate		Mutualist	interactions with Heliconia imbricata are an example of
	Amazilia izacatl	Q1602492	Heliconia imbricata	feed on and pollinate
	Amazilia izacatl		Mutualist	interactions with Heliconia imbricata are an example of
	Amazilia amabilis	Q1602492	Heliconia imbricata	feed on and pollinate
	Amazilia amabilis		Mutualist	interactions with Heliconia imbricata are an example of
Q1084570	Florisuga mellivora	Q1602492	Heliconia imbricata	feed on and pollinate
	Florisuga mellivora		Mutualist	interactions with Heliconia imbricata are an example of
Q1834504	Artibeus watsoni	Q1602492	Heliconia imbricata	roost on (also add Ectophylla alba (tent-making bat)
Q1834504	Artibeus watsoni	Q10253316	Parasite	interactions with Heliconia imbricata are an example of
	Cephaloleia puncticollis Baly (Coleoptera: Chrysomelidae; Hispinae)	Q1602492	Heliconia imbricata	lay eggs and larvae feeds on
	Cephaloleia puncticollis Baly (Coleoptera: Chrysomelidae; Hispinae)	Q10253316	Parasite	interactions with Heliconia imbricata are an example of
Q5	Add Homo sapiens	Q1602492	Heliconia imbricata	Cultivate the flowers in botanical gardens and commercial nurseries for sale to the public 
